orient,distractor,kappa,subject,resp,respRT,acc,traj
162,0,5000,3,154.5,1.847352982,-7.5,-17.5
90,1,50,3,82,0.659026861,-8,-16
104,1,50,3,100.5,2.329718113,-3.5,-76.5
52,0,5000,3,42,2.235605955,-10,29
169,0,5000,3,168,1.517840862,-1,60
31,1,50,3,24,1.106361151,-7,-54
110,0,5000,3,127,1.165018082,17,22
46,0.15,50,3,63,1.000497103,17,-26
64,1,50,3,63,0.600335121,-1,14
175,0,50,3,12,1.965196848,17,-44
168,0.15,5000,3,169,1.930016041,1,158
13,1,5000,3,15.5,2.400588989,2.5,-77.5
160,0,5000,3,155.5,2.482572079,-4.5,-4.5
59,0,5000,3,54.5,1.870836973,-4.5,-41.5
104,0.15,100,3,113,2.02362299,9,-38
50,1,5000,3,51,1.612267017,1,-41
17,1,100,3,35,1.788589954,18,-36
158,1,50,3,154,2.470790863,-4,87
18,0.15,50,3,21.5,2.000448942,3.5,11.5
154,0.15,5000,3,157,0.588483095,3,-22
37,1,5000,3,36,1.000488997,-1,-38
33,0.15,100,3,40.5,1.72964406,7.5,-54.5
62,1,50,3,64,1.070814848,2,62
52,0,50,3,66.5,1.682601929,14.5,-73.5
81,1,100,3,81,1.270911932,0,-19
155,0.15,50,3,166.5,1.811982155,11.5,43.5
6,0,5000,3,22,1.694730997,16,-62
84,1,5000,3,75,1.49435401,-9,-82
102,0.15,50,3,108.5,2.094633102,6.5,7.5
150,1,5000,3,145.5,2.435532093,-4.5,95.5
90,1,5000,3,93.5,1.470811129,3.5,-25.5
86,0.15,50,3,73,1.188767195,-13,-54
149,0.15,50,3,37,1.188511848,68,-46
59,1,100,3,33,0.623848915,-26,26
87,1,100,3,72,1.094602108,-15,68
123,1,100,3,123,1.164929867,0,106
42,0.15,100,3,24,0.529614925,-18,-148
90,0,50,3,84,1.564908028,-6,-14
123,1,50,3,111,2.153555155,-12,-66
176,0,50,3,NaN,1.400243998,NaN,0
16,1,100,3,130,1.188461065,-66,22
157,1,50,3,160,1.647403002,3,82
167,0,100,3,159,2.553148985,-8,54
75,0.15,100,3,59,0.717880964,-16,-30
133,0.15,5000,3,130,2.553249121,-3,81
96,0,100,3,95.5,2.341786861,-0.5,39.5
132,1,5000,3,157,1.800487041,25,146
83,0,50,3,82.5,1.918138027,-0.5,-10.5
79,0.15,50,3,66,1.482960939,-13,-94
16,0,50,3,32,0.953199863,16,-64
117,0.15,50,3,131,0.670921087,14,-20
79,1,50,3,76,0.647686958,-3,-16
138,0,100,3,137,1.082596064,-1,66
175,0,50,3,153,1.800209045,-22,86
